StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q1,Q5,Q5,Q17,Q7,Q11,Q16,Q17,Q9,Q10,Q19
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Survey Consent

No identifiable information is gathered, largely only opinions, the survey is entirely anonymous.

Participation in this research is voluntary. If you don’t wish to take part, you don’t have to.
By consenting it you are telling us that you:
 - Understand what you have read
 - Consent to take part in the research project survey
 - Consent to the use of your response as data for academic purposes.",How easy is it to access a new course on DuoLingo?,Why is it Difficult to access a new course on DuoLingo?,"On the bottom of the screen, there are six tabs (Home, Feed, etc.). Would you say these were easy to know which tab is what based on their icons?",Why was it Difficult to ascertain the different tabs based on the Icons?,"How would you rate the overall visual design of the Duolingo app (colours, icons, layout)?",How do you think Duolingo's visual design could be improved?,"How would you rate the accessibility of the Duolingo app? (Configurability, accessibility on different devices, consideration of visual or auditory impairments, etc)",How do you think Duolingo's could provide more/better accessibility?,What device did you use to test the app?,Would you recommend Duolingo to a friend that wants to learn a new language?,We appreciate the feedback. Can we ask why?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID1""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID19_TEXT""}"
12/3/2026 17:14,12/3/2026 17:15,IP Address,137.111.13.165,100,67,TRUE,12/3/2026 17:15,R_97VUX0UWayJt11R,,,,,-33.7894,151.0813,anonymous,EN,I consent to the use of this data for academic purposes,Very Easy,,Very easy,,Excellent,,Excellent,,iPhone,Yes,
12/3/2026 17:14,12/3/2026 17:16,IP Address,137.111.13.126,100,107,TRUE,12/3/2026 17:16,R_9Ptgx2wmrMujsxr,,,,,-33.7894,151.0813,anonymous,EN,I consent to the use of this data for academic purposes,Easy,,Easy,,Good,"could have more colour schemes otherwise pretty good
",Average,it could provide more size options making the icons bigger,iPhone,Yes,
12/3/2026 17:17,12/3/2026 17:17,IP Address,137.111.13.165,100,22,TRUE,12/3/2026 17:17,R_4nm4dxGyF1TxVWp,,,,,-33.7894,151.0813,anonymous,EN,I consent to the use of this data for academic purposes,Easy,,Easy,,Good,,Average,,iPhone,Yes,
12/3/2026 17:16,12/3/2026 17:19,IP Address,137.111.13.126,100,122,TRUE,12/3/2026 17:19,R_9k21fAyRNiucJ8k,,,,,-33.7894,151.0813,anonymous,EN,I consent to the use of this data for academic purposes,Very Easy,,Easy,,Good,"yes, more in-depth colours
",Good,more ancient languages,iPhone,Yes,
12/3/2026 17:14,12/3/2026 17:19,IP Address,137.111.13.126,100,308,TRUE,12/3/2026 17:19,R_4m3jkOfU9blO4It,,,,,-33.7894,151.0813,anonymous,EN,I consent to the use of this data for academic purposes,Very Easy,,Difficult,,Good,The Icons for the different menus could be more obvious or clear,Average,unsure.,iPhone,Yes,
12/3/2026 17:18,12/3/2026 17:21,IP Address,137.111.13.126,100,161,TRUE,12/3/2026 17:21,R_4ocA0oRDZXj0R94,,,,,-33.7894,151.0813,anonymous,EN,I consent to the use of this data for academic purposes,Very Easy,,Difficult,,Average,Declutter the home page. Remove unnecessary features such as gamification gems etc.,Good,,iPhone,No,There are other much better language learning methods e.g. SRS
12/3/2026 17:18,12/3/2026 17:22,IP Address,137.111.13.126,100,219,TRUE,12/3/2026 17:22,R_4xCSpGYy14ol6lY,,,,,-33.7894,151.0813,anonymous,EN,I consent to the use of this data for academic purposes,Easy,,Easy,,Excellent,,Excellent,,iPhone,Yes,
12/3/2026 17:21,12/3/2026 17:23,IP Address,137.111.13.126,100,78,TRUE,12/3/2026 17:23,R_9pMBCLuIZRjQEMT,,,,,-33.7894,151.0813,anonymous,EN,I consent to the use of this data for academic purposes,Very Easy,,Easy,,Excellent,,Good,,iPhone,Yes,
